time,ax,ay,az
108.551,593.0,-78.0,-781.0
108.675,698.0,-65.0,-661.0
108.799,772.0,-56.0,-574.0
109.064,777.0,-33.0,-568.0
109.187,605.0,-48.0,-702.0
109.312,368.0,-53.0,-849.0
109.435,142.0,-77.0,-956.0
109.559,44.0,-86.0,-972.0
110.227,73.0,-93.0,-942.0
110.351,250.0,-81.0,-921.0
110.475,458.0,-58.0,-829.0
110.599,629.0,-33.0,-768.0
110.987,668.0,-30.0,-764.0
111.111,508.0,-60.0,-852.0
111.235,305.0,-66.0,-966.0
111.499,125.0,-44.0,-977.0
111.625,86.0,-36.0,-972.0
111.751,4.0,-25.0,-994.0
112.015,66.0,-17.0,-984.0
112.139,218.0,-45.0,-948.0
112.263,398.0,-100.0,-877.0
112.387,538.0,-149.0,-776.0
112.511,633.0,-181.0,-672.0
112.775,661.0,-173.0,-669.0
112.9,534.0,-140.0,-777.0
113.023,306.0,-98.0,-904.0
113.147,96.0,-73.0,-970.0
113.831,18.0,-18.0,-966.0
113.955,138.0,-42.0,-973.0
114.079,280.0,-48.0,-921.0
114.203,414.0,-73.0,-849.0
114.327,572.0,-88.0,-720.0
114.451,700.0,-101.0,-608.0
114.575,745.0,-117.0,-618.0
114.7,585.0,-110.0,-706.0
114.823,365.0,-113.0,-856.0
114.947,130.0,-92.0,-926.0
115.351,28.0,-132.0,-984.0
115.475,80.0,-153.0,-966.0
115.599,198.0,-161.0,-913.0
115.723,338.0,-149.0,-902.0
115.851,522.0,-169.0,-804.0
115.975,644.0,-204.0,-749.0
116.1,730.0,-226.0,-600.0
116.503,765.0,-209.0,-578.0
116.627,638.0,-205.0,-686.0
116.751,453.0,-180.0,-809.0
116.875,236.0,-152.0,-913.0
117.0,108.0,-116.0,-952.0
117.123,30.0,-121.0,-978.0
117.527,44.0,-90.0,-981.0
117.652,172.0,-133.0,-976.0
117.777,320.0,-130.0,-914.0
117.899,484.0,-157.0,-833.0
118.023,628.0,-121.0,-734.0
118.147,736.0,-152.0,-646.0
118.271,769.0,-145.0,-581.0
118.535,745.0,-150.0,-556.0
118.659,661.0,-157.0,-642.0
118.783,490.0,-117.0,-752.0
118.907,294.0,-93.0,-873.0
119.031,142.0,-49.0,-932.0
119.575,100.0,-54.0,-964.0
119.699,234.0,-54.0,-910.0
119.823,397.0,-61.0,-864.0
119.95,557.0,-61.0,-784.0
120.091,665.0,-101.0,-686.0
