time,ax,ay,az
177.685,-64,853,164
177.808,-50,914,244
177.932,-26,970,213
178.056,-20,962,81
178.18,-26,866,-193
178.304,-62,689,-538
178.428,-76,504,-813
178.552,-81,337,-982
178.676,-60,209,-1068
178.801,-38,110,-1129
178.924,-16,57,-1113
179.608,-16,178,-1096
179.732,-24,420,-965
179.856,-64,702,-673
179.98,-76,830,-273
180.104,-70,862,1
180.228,-45,885,108
180.352,-45,952,105
180.476,-56,974,-24
180.6,-66,910,-221
180.724,-70,798,-482
180.848,-77,674,-709
180.972,-62,509,-908
181.1,-52,337,-1008
181.224,-30,176,-1054
181.348,-26,81,-1049
181.472,-21,18,-1052
182.296,-5,44,-1132
182.42,-2,277,-1141
182.544,-33,546,-1114
182.668,-80,750,-790
182.792,-108,761,-394
182.916,-101,777,-38
183.04,-77,832,154
183.164,-46,937,188
183.428,-18,944,142
183.552,-20,853,-29
183.676,-64,808,-326
183.8,-100,722,-614
183.924,-137,578,-880
184.048,-109,380,-1061
184.172,-68,256,-1150
184.296,-36,168,-1150
184.42,-13,104,-1074
184.544,-9,36,-1012
184.808,-25,6,-993
185.215,-44,-44,-1045
185.34,-40,74,-993
185.464,-65,321,-888
185.588,-89,644,-669
185.712,-117,862,-408
185.836,-118,977,-196
185.96,-113,986,-57
186.084,-109,997,13
186.208,-110,1008,29
186.645,-94,968,-212
186.736,-58,800,-504
186.86,-30,506,-818
186.984,-21,222,-977
187.108,-33,17,-1036
188.212,-36,-26,-1022
188.336,-20,85,-1017
188.46,-14,332,-958
188.584,-14,601,-742
188.708,-32,853,-438
188.832,-46,962,-157
188.956,-50,998,-8
189.08,-45,1002,68
189.204,-38,1009,132
189.471,-44,1016,149
189.596,-48,1025,17
189.72,-44,962,-242
189.845,-26,776,-556
189.968,-8,485,-824
190.092,0,194,-961
190.216,-9,-21,-1017
190.34,-17,-146,-1012
191.444,-33,-98,-1020
191.568,-26,152,-981
191.692,-29,477,-793
191.816,-48,788,-465
191.94,-66,953,-132
192.064,-70,1010,86
192.468,-68,982,77
